MovieID,Title,Genre,ReleaseYear,ReleaseDate,Country,BudgetUSD,US_BoxOfficeUSD,Global_BoxOfficeUSD,Opening_Day_SalesUSD,One_Week_SalesUSD,IMDbRating,RottenTomatoesScore,NumVotesIMDb,NumVotesRT,Director,LeadActor
15,Purpose miss others show,Action,1963,18-08-1963,USA,8501420.16,6211747.19,9097154.27,1623480.87,2987040.85,6.5,78,934,1602,Patricia Munoz,Sharon Riley
16,Similar off,Drama,1983,3/3/1983,USA,25624591.73,32569914.94,67639926.85,6839515.13,18766598.57,5,38,2912,53,Jason Jones,Thomas Hill
17,Accept past she somebody,Horror,2019,7/4/2019,USA,20109873.91,45376636.88,96710883.85,4752425.69,19705757.17,4.2,36,8691,3326,Mr. Jorge Anderson,Daniel Hughes
18,Memory blue,Thriller,1963,4/9/1963,USA,4036756.47,8983230.19,17172258.41,1633753.84,4621801.17,8.1,82,24249,50,Mr. Jorge Anderson,Casey Lloyd
19,Sport just score,Drama,2009,23-11-2009,India,1184356.93,1459831.77,2344529.83,435180.88,677505.19,4.2,55,14306,644,Amanda Cantrell,Christopher Hanson
20,Mrs close hotel,Comedy,2004,5/4/2004,USA,16757088.88,13567813.68,26958812.72,1496912.68,6550068.04,7.4,80,594,136,Kimberly Barker,Kimberly Ray
21,Agree garden,Romance,2005,23-02-2005,USA,273022.95,226835.03,419360.89,64754.05,106243.16,7,77,46809,684,Rachel Hayes,Michael Martinez
22,Short phone sometimes product,Drama,2003,26-08-2003,USA,2077605.68,1208808.1,2077605.68,186896.3,699624.15,5.5,55,27847,6812,Sophia Gomez,Nathan Nelson
23,Identify,Drama,2013,7/10/2013,USA,2846436.28,5420815.26,9172595.82,1293966.86,2829319.33,5.3,49,2103,490,Robert Webster,Victoria Phillips
24,Large over the,Comedy,2014,11/3/2014,India,16106357.21,10826254.71,16106357.21,3194948.01,6016765.18,6.7,82,7987,296,Colleen Willis,Cody Peters
25,Picture value,Drama,2008,12/8/2008,USA,9723471.21,23359088.54,40416194.23,3705611.28,9456073.51,6.6,69,23341,199,Mark Brooks,Tonya Campbell
26,Seem into beyond,Comedy,1998,12/12/1998,USA,6734151.18,13967085.26,20371544.33,3229502.73,6297509.22,5.2,54,1520,1312,Faith Franklin,Melissa Cunningham
27,Bad side,Drama,1970,16-05-1970,USA,2024799.03,3120803.68,4506880.52,374038.96,1256605.58,6.9,93,1446,216,Abigail Robles,Diane Jacobs
28,Second,Romance,2007,4/6/2007,USA,2469350.08,1273405.22,2469350.08,256057.5,727685.16,5.6,41,571,58,Robert Webster,Christopher Tucker
29,Character institution good thousand,Sci-Fi,1990,5/6/1990,USA,3458304.82,5548990.92,9644313.66,737086.51,2569995.24,9.3,90,4652,1610,Chad Koch,Valerie Dennis
30,Professor either,Drama,2020,13-06-2020,USA,1238210.99,4122230.93,6059554.17,1183716.03,1858052.62,8.6,85,7629,404,Jacqueline Briggs,Melissa Mcgee
31,Model station,Action,1996,21-09-1996,USA,1172141.81,1482929.54,2282612.88,200603.95,680917.04,9.3,80,239,3468,Jerry Owens,Amanda Jenkins
32,Dinner,Action,2019,31-10-2019,USA,3913191.11,6878105.93,10333332.03,2057699.07,3295543.01,5.5,63,2201,1023,Oscar Santos,William Ramirez
33,From cold law,Comedy,2013,2/7/2013,USA,4171378,6648127.9,14091331.15,1534870.98,3067624.23,5.9,67,1374,50,Megan Sharp,George Green
34,Character return,Drama,2021,3/4/2021,USA,107950.63,338018.02,495980.3,75865.17,164850.74,7.4,74,26678,112,Barbara Torres,Lorraine White DDS
35,Draw trade,Drama,2021,15-08-2021,USA,100000,115654.78,193622.56,33823.66,50853.38,6.7,78,4570,1065,Karen Smith,Thomas Sims
36,Exist put simply,Horror,2018,20-11-2018,USA,2430470.62,5927177.49,12039047.95,1211567.88,2610598.55,5.7,56,2839,141,Bryan Murray,Becky Dean
37,Region region,Drama,2003,3/8/2003,Australia,2094307.14,5020481.93,9166273.7,738047.91,2061563.72,4.9,55,8011,122,David Charles,Danny Kline
38,Can shoulder,Thriller,2017,18-02-2017,USA,64470180.12,46679051.8,96768123.94,6074963.37,22218475.45,4.2,27,265,21363,Renee Campbell,Mark Jones
39,Above dog,Action,1985,14-12-1985,UK,18078218.43,15977864.71,24818868.59,1795317.33,7744296.9,7.7,78,4232,69,Sara Higgins,James Nichols
40,Record stay lead,Sci-Fi,2011,17-04-2011,USA,6574229.67,4384075.74,9675132.29,1034644.32,2339816.82,4.9,57,2630,149,Albert Phillips,Victoria Phillips
41,Bank government year,Romance,1993,12/4/1993,USA,1144198.37,2258528.34,3404123.13,538761.77,1146165.66,4.2,47,4131,9710,Sophia Gomez,Pamela Lopez
42,Sing office hair,Sci-Fi,2009,31-05-2009,UK,1340364.37,2832081.13,4692308.66,759063.94,1227524.14,8.4,80,3000,73,Michael Richards,Lucas Collins
43,Head lay,Drama,2015,26-07-2015,USA,1556340.37,4331530.19,6783887.36,775833.56,1910484.32,5.9,71,3443,50,Robin Hooper,Jeffrey Smith
44,Majority,Horror,2019,8/8/2019,France,181638.25,444091.3,647412.82,115173.15,246810.43,8.2,100,167,61,Hannah Camacho,Jason Mercer
45,Message bed behind,Drama,2012,25-03-2012,USA,435309.57,1286177.95,2107337.11,267419.05,591257.88,4.1,42,11862,58,Daniel Brown,Valerie Dennis
46,Official possible,Action,2025,17-03-2025,India,16134359.03,18254337.62,33790208.23,4386586.46,8675311.25,7.1,61,3080,330,Claudia Smith,Ryan Hood
47,Example center man,Drama,2003,25-05-2003,USA,3778402.22,5801682.55,14321983.04,1090064.13,2604561.73,7.3,78,1304,197,Judy Walker,William Crawford
48,Head team onto model,Drama,2011,24-05-2011,Australia,14345515.59,22340579.44,36257512.61,5350194.61,9151233.82,9.6,87,280,986,Robert Hendricks,Melissa Morales
49,Finish,Thriller,2012,14-11-2012,India,1679677.57,4653196.68,7170484.62,698285.69,2024793.94,8.8,92,4950,149,Seth Whitehead,Kathy Marshall
50,Right,Comedy,1993,25-04-1993,USA,2929612.32,3630673.53,5424425.42,379549.57,1563726.25,6.6,61,4726,1206,Faith Franklin,Mckenzie Perez
51,Dog improve perhaps,Comedy,1994,20-12-1994,India,16538725.61,19870382.45,36752241.31,5784169.09,11776984.6,4.8,30,4177,302,Jennifer Willis,Daniel Hughes
52,Strong son travel,Drama,1974,7/1/1974,India,3866117.13,9493477.11,15738161.74,2385246.49,4862447.47,3.7,33,1159,759,Mary Mitchell,Jason Chavez
53,Those arm action,Comedy,2018,9/4/2018,USA,1277927.48,1342671.7,2264163.18,331796.25,778078.36,5.7,54,579,853,Andrew Chambers,Brandon Mcguire
54,Perhaps much enjoy,Comedy,1998,22-11-1998,India,24436354.19,15268989.18,29551770.5,2599307.41,8153438.42,7.9,80,89519,15686,Michael Richards,Tricia Thomas
55,Difficult success organization,Action,2000,11/12/2000,USA,691258.28,1787495.32,3332775.16,333772.73,785631.86,7.2,74,125,6518,Daniel Brown,Patricia Ramirez
56,Usually push,Comedy,1990,3/6/1990,USA,520354.31,300667.11,520354.31,51494.64,161530.27,7.4,77,2281,222,Heidi Cisneros,Robert Walker
57,Bring tonight early,Thriller,2024,25-05-2024,USA,1234865.97,1508722.69,2934398.05,265677.35,722062.5,5.9,55,53650,2321,Michael Chung,Casey Collins
58,Run statement population,Comedy,1950,8/12/1950,USA,1497530.58,3082387,5474112.54,328046.51,1617742.5,4.5,50,10178,1341,Abigail Robles,Michelle Thomas
59,Issue put yes,Comedy,2000,19-04-2000,USA,2927562.18,7461160.88,11152470.79,764578.61,4017239.65,6.7,88,8358,448,Paul Rogers,Dominique Aguirre
60,Carry section,Action,1991,26-03-1991,USA,9569133.87,10137677.5,17997208.37,1205138.52,5489799.11,4.6,44,186,1506,Carolyn Schwartz,Mark Morris
61,Either this now,Drama,2009,17-12-2009,USA,463291.42,720699.04,1693997.5,175751.35,392873.01,5.2,37,234,2301,Jason Jones,Eric Cooper
62,Return speech,Documentary,2010,8/12/2010,UK,3846865.14,2426864.14,5661038.09,605464.33,1127868.54,6.4,55,1415,465,Jennifer Henry,Catherine Willis
63,Subject next per,Comedy,2003,26-04-2003,USA,5331369.42,11324332.14,16462359.05,2060189.92,5208204.97,7.5,82,10760,50,Donna Hall,Christopher Hurst
64,Education professor four,Thriller,2012,19-03-2012,USA,7471929.79,14388823.55,23901529,3660547.81,5823415.21,6.8,72,116,854,Anthony Rowland,Cassandra Dennis
65,Program ago,Romance,2019,25-08-2019,USA,821495.73,377276.53,821495.73,93369.14,155469.37,6.2,58,106,4205,Adam Brown,George Green
66,Owner four four,Drama,1967,4/5/1967,USA,43879798.56,59520827.82,130245281.2,6503349.25,28404732.85,4.2,29,1362,381,Philip Simmons,Joseph Leon
67,Until government,Drama,2011,28-11-2011,India,5194204.39,6095107.98,9482283.29,633029.43,2856974.63,8,87,3197,885,Ryan Tate,Darren Jones
68,Four forget today,Horror,1965,7/11/1965,USA,6020014.98,3659600.97,6020014.98,465908.55,2184451.52,4.3,47,2379,6081,Andrew Chambers,Christopher Hurst
69,Change think create,Drama,2003,28-09-2003,Australia,3023413.08,5008384.37,8219234.2,1270729.59,2128887.23,5.1,54,1796,3796,Melanie Olson,Douglas Davis
70,However whom,Action,1978,25-08-1978,USA,315105.7,733247.18,1335477.81,190391.12,334296.66,8.2,97,408,303,Jennifer Miller,Alexander Haley
71,Form floor thank,Comedy,2006,27-05-2006,USA,10496349.14,13498710.88,19454860.94,2934797.68,7656806.77,8.3,78,4494,2286,Darlene Murphy,Sharon Brady
72,Response main,Sci-Fi,1990,19-04-1990,China,42539968.69,26539546.08,65486453.26,7445218.32,14495215.29,4.6,38,59537,332,Kevin Green,Sandra Farmer
73,Believe TV past,Drama,1989,18-08-1989,USA,9200720.94,8470309.35,19271761.69,1401469.41,4724781.37,6.3,55,8238,747,David Hall,Sierra Brooks
74,Vote,Drama,2025,3/9/2025,UK,2192960.86,1267124.29,2672853.42,282633.44,646175.21,6.8,69,30377,191,Sophia Gomez,Valerie Dennis
75,Think exactly,Action,1978,20-11-1978,USA,3253702.72,1888422.64,3253702.72,432116.9,871417.04,4.1,28,4483,3266,Dr. Jonathan Long,Sarah Nelson
76,Power find,Action,1992,26-10-1992,USA,618082.19,1773511.07,2611459.7,422379.21,1004455.38,8.2,84,1363,156,James Cross,Mrs. Margaret Smith
77,Market one,Action,2007,19-09-2007,France,4499420.46,8456277.82,19420441.04,1757299.42,4429149.52,7.5,83,9695,854,David Rosales,Timothy George
78,All hot,Comedy,2019,17-01-2019,USA,1179407.39,2132090.19,4019719.21,332575.46,1255597.42,6.1,80,337,8294,Jeffrey Neal,Ashley Pena
79,Wide clearly provide,Romance,1983,16-08-1983,USA,943131.66,1851421.69,2714023.77,296828.88,761104.32,6.2,73,21230,66,Karen Smith,Melissa Cain
80,Sense relationship leader,Horror,2018,8/1/2018,India,1281929.03,2376100.25,4184566.19,595849.23,1153509.25,8.1,77,172,406,Francisco Ford,Mark Jones
81,Discuss result,Romance,2005,6/7/2005,USA,3223020.68,6442093.12,12784602.43,684472.83,3100800.15,5.7,39,2893,87,Jennifer Willis,Amber Willis
82,Away bring,Horror,1968,23-03-1968,USA,6157229.71,13095823.13,25839279.39,3900253.43,7404765.3,6.8,58,224,281,Matthew Beck,Kimberly Ramirez
83,Fall structure,Drama,1980,13-06-1980,Canada,23974912.09,21552744.82,43649740.73,5798470.48,9599861.55,6.7,77,2369,3907,Matthew Beck,Seth Smith
84,Physical say face within,Romance,1963,15-06-1963,USA,3185589.08,4372118.47,9146916.26,1154576.97,2365881.83,8.2,84,842,9880,Karen Barrett,Samantha Vargas
85,Under push evening,Documentary,2025,9/10/2025,USA,2658315.95,4121643.99,9783938.41,1068694.28,2442892.72,6,72,1736,854,Mr. Jorge Anderson,Lorraine White DDS
86,Around night,Comedy,2001,31-10-2001,USA,24738532.55,41941419.88,62766329.38,6775529.27,19025798.83,7.3,82,6899,1326,David Rosales,Dawn Blake
87,Focus investment her,Horror,2001,21-01-2001,USA,6014508.38,2908491.36,6014508.38,792860.49,1535755.96,5.2,48,10533,721,Ryan Tate,David Hart
88,Fly baby,Drama,2010,1/12/2010,USA,1747318.9,2028286.72,2979757.68,567546.78,830857.94,6.8,58,3871,50,William Walker,Becky Dean
89,Ask clearly if,Romance,2018,3/6/2018,USA,19986352.03,58923649.4,90020273.71,15941406.76,33920310.35,4.9,71,36798,50,Michael Richards,Jorge Kennedy
90,Speech about someone,Comedy,2017,9/3/2017,USA,2635531.28,7771896.85,12786755.18,1853562.36,3350240.59,8.9,80,4238,6086,Brian Robinson,Christopher Rodgers
91,Report physical candidate,Comedy,2016,27-02-2016,Germany,14151376.2,34925559.09,57682132.27,9617386.57,20329672.97,4.9,39,27289,79,William Carpenter,Christopher Benson
92,You discover,Romance,1991,20-01-1991,USA,1702153.01,3195665.91,4966959.55,460840.71,1608400.86,8.5,83,8090,18542,Mark Moody,Alison Clark
93,Alone day official,Romance,1988,18-09-1988,France,681709.43,1942184.28,3190720.65,197447.69,849457.52,8.6,82,12762,5849,Michael Chung,Sharon Brady
94,Choose common,Horror,1998,12/7/1998,USA,2152750.98,1489852.28,2834348.76,156555.86,819332.5,7.1,67,78355,657,Patricia Munoz,Stephen Cooper
95,Wonder young must,Action,2008,26-05-2008,USA,9056097.68,4812542.41,10090058.54,1311157.44,2379285.37,4.5,44,64113,77,Caitlin Brewer,Ashley Gilmore
96,All lot,Drama,2022,24-11-2022,USA,1987747.41,1774715.27,4255442.83,292971.59,875577.86,7.6,88,2444,2487,Emily Miller,Jorge Kennedy
97,Lay fill mind,Horror,1957,24-02-1957,USA,3090793.31,9792788.27,14058850.84,1666379.61,5115475.1,5.2,36,368,4183,Bryan Murray,Joseph Gonzalez
98,Hold,Thriller,1994,9/5/1994,USA,6184974.86,16002352.36,26207047.79,2733156.99,9381550.94,3,32,221,243,Ryan Tate,Mark Jones
99,However listen each,Thriller,2022,1/4/2022,USA,12613859.33,18557187.28,38386331.63,2947095.86,9716160.88,8.4,100,5052,33850,Jacqueline Briggs,Brittany Kelly
100,Best something last,Comedy,2001,20-09-2001,USA,16079957.21,7587586.53,16079957.21,1983293.64,3123046.37,6.9,63,128347,121,Melissa Hernandez,Pamela Frey
